ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD,DURACIÓN_RESTANTE_CONTRATO,"CALIDAD_CONECTIVIDAD (0=BAJA, 0.5=MEDIA, 1=ALTA)",ZONA_NUM,OPERADOR_NUM,PROYECTO_NUM,MUNICIPIO_NUM,ESTADO_NUM
12.0,2032-12-01,5.039630579,-73.0040323,2797,0.5,0,1,1,60,0
12.0,2032-12-01,5.039722,-73.003611,2797,0.5,0,1,1,60,0
12.0,2032-12-01,5.737513,-73.135564,2797,0.5,0,1,1,61,0
12.0,2032-12-01,5.758333,-73.110833,2797,0.5,0,1,1,61,0
12.0,2032-12-01,5.793889,-73.123056,2797,0.5,0,1,1,61,0
15.0,2032-12-01,5.802596,-73.120371,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.71046266,-73.13148815,2797,0.5,0,1,1,61,0
15.0,2032-12-01,5.783601,-73.12862,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.79434411,-73.15225117,2797,0.5,0,1,1,61,0
12.0,2032-12-01,5.83005276,-73.12489161,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.750517849,-73.14985488,2797,0.5,0,1,1,61,0
12.0,2032-12-01,5.737222,-73.0725,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.870556,-73.166944,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.76940692,-73.11405503,2797,0.5,0,1,1,61,1
12.0,2032-12-01,5.780513802,-73.09193419,2797,0.5,0,1,1,61,1
18.0,2032-12-01,5.89998178,-73.18724588,2797,0.5,0,1,1,61,1
18.0,2032-12-01,5.737222,-73.0725,2797,0.5,0,1,1,61,1
15.0,2032-12-01,5.410270931,-72.71852461,2797,0.5,0,1,1,62,1
12.0,2032-12-01,5.329457773,-72.69347127,2797,0.5,0,1,1,62,0
12.0,2032-12-01,5.373557752,-72.70831815,2797,0.5,0,1,1,62,0
15.0,2032-12-01,5.374985428,-72.69366067,2797,0.5,0,1,1,62,1
12.0,2032-12-01,6.443611,-72.460278,2797,0.5,0,1,1,63,0
12.0,2032-12-01,6.443611,-72.459722,2797,0.5,0,1,1,63,0
12.0,2032-12-01,6.43457347,-72.45302585,2797,0.5,0,1,1,63,0
15.0,2032-12-01,5.592247577,-73.92511741,2797,0.5,0,1,1,64,0
15.0,2032-12-01,5.773140449,-74.05920167,2797,0.5,0,1,1,64,0
12.0,2032-12-01,5.687080103,-73.96017802,2797,0.5,0,1,1,64,1
